Applicability,"Service 
",Reporting period,Category of illegal content,Description of Other,Scope,Number of orders to act against illegal content received,Number of orders to act against illegal content granted/complied with,Number of items moderated on the basis of an order to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Number of orders to provide information granted/complied with,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on Median time to give effect to the order to act against illegal content
All,Discord,2024-02-17/2024-12-31,KEYWORD_IMAGE_BASED_SEXUAL_ABUSE,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,TOTAL,6,6,6,>.1,103h,11,2,>.1,359h,
All,Discord,2024-02-17/2024-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_UNSAFE_CHALLENGES,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER - ,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_TERRORIST_CONTENT,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibits the presence or activities of violent extremist organizations and other violent groups and the sharing of malware targeting infrastructure.  ,TOTAL,1,1,1,>.1,4h,1,0,>.1,625h,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,TOTAL,1,1,1,>.1,4h,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PHISHING,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PYRAMID_SCHEMES,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibit financial scams and fraud services. These actions also include violations by Applications of the same Discord policy.,TOTAL,2,2,2,>.1,330h,1,0,>.1,198h,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_SELF_MUTILATION,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_SUICIDE,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PROHIBITED_PRODUCTS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_UNSAFE_PRODUCTS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_COORDINATED_HARM,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_GENDER_BASED_VIOLENCE,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HUMAN_EXPLOITATION,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HUMAN_TRAFFICKING,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,TOTAL,0,,,,,5,0,>.1,575h,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,TOTAL,,"Estonia, France, Germany, Lithuania, Portugal, Spain ","2, 9, 2, 1, 0, 0","2, 9, 2, 1, 0, 0","2, 9, 2, 1, 0, 0",>.1,85h,"0,18,3,1,1,1","0,2,0,0,0,0",>.1,399h,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,
